"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","INTERNET","TOT","PC_HH","A","2005",50.1575,
"BEL","INTERNET","TOT","PC_HH","A","2006",53.9597,
"BEL","INTERNET","TOT","PC_HH","A","2007",60.164,
"BEL","INTERNET","TOT","PC_HH","A","2008",63.6276,
"BEL","INTERNET","TOT","PC_HH","A","2009",67.4352,
"BEL","INTERNET","TOT","PC_HH","A","2010",72.7371,
"BEL","INTERNET","TOT","PC_HH","A","2011",76.5078,
"BEL","INTERNET","TOT","PC_HH","A","2012",77.7137,
"BEL","INTERNET","TOT","PC_HH","A","2013",80.0478,
"BEL","INTERNET","TOT","PC_HH","A","2014",82.8041,
"BEL","INTERNET","TOT","PC_HH","A","2015",81.825,
"BEL","INTERNET","TOT","PC_HH","A","2016",84.7857,
"DNK","INTERNET","TOT","PC_HH","A","2005",74.9174,
"DNK","INTERNET","TOT","PC_HH","A","2006",78.7298,
"DNK","INTERNET","TOT","PC_HH","A","2007",78.0544,
"DNK","INTERNET","TOT","PC_HH","A","2008",81.8811,
"DNK","INTERNET","TOT","PC_HH","A","2009",82.534,
"DNK","INTERNET","TOT","PC_HH","A","2010",86.0984,
"DNK","INTERNET","TOT","PC_HH","A","2011",90.0828,
"DNK","INTERNET","TOT","PC_HH","A","2012",91.9976,
"DNK","INTERNET","TOT","PC_HH","A","2013",92.7135,
"DNK","INTERNET","TOT","PC_HH","A","2014",93.1202,
"DNK","INTERNET","TOT","PC_HH","A","2015",91.74,
"DNK","INTERNET","TOT","PC_HH","A","2016",94.3436,
"DEU","INTERNET","TOT","PC_HH","A","2005",61.6383,
"DEU","INTERNET","TOT","PC_HH","A","2006",67.1077,
"DEU","INTERNET","TOT","PC_HH","A","2007",70.6745,
"DEU","INTERNET","TOT","PC_HH","A","2008",74.8754,
"DEU","INTERNET","TOT","PC_HH","A","2009",79.069,
"DEU","INTERNET","TOT","PC_HH","A","2010",82.4875,
"DEU","INTERNET","TOT","PC_HH","A","2011",83.2549,
"DEU","INTERNET","TOT","PC_HH","A","2012",85.4999,
"DEU","INTERNET","TOT","PC_HH","A","2013",87.747,
"DEU","INTERNET","TOT","PC_HH","A","2014",89.4741,
"DEU","INTERNET","TOT","PC_HH","A","2015",90.2891,
"DEU","INTERNET","TOT","PC_HH","A","2016",92.1352,
"ISL","INTERNET","TOT","PC_HH","A","2005",84.4141,
"ISL","INTERNET","TOT","PC_HH","A","2006",83.018,
"ISL","INTERNET","TOT","PC_HH","A","2007",83.697,
"ISL","INTERNET","TOT","PC_HH","A","2008",87.7256,
"ISL","INTERNET","TOT","PC_HH","A","2009",89.5903,
"ISL","INTERNET","TOT","PC_HH","A","2010",92.0358,
"ISL","INTERNET","TOT","PC_HH","A","2011",92.5945,
"ISL","INTERNET","TOT","PC_HH","A","2012",94.6001,
"ISL","INTERNET","TOT","PC_HH","A","2013",96.4134,
"ISL","INTERNET","TOT","PC_HH","A","2014",96.482,
"AUT","INTERNET","TOT","PC_HH","A","2005",46.6887,
"AUT","INTERNET","TOT","PC_HH","A","2006",52.2965,
